product_id,ten_san_pham,gia,category_id,ten_category,kieu_price_tra_ve
1,iPhone 15 Pro Max,30000000,1,Điện thoại,number
2,Samsung Galaxy S24 Ultra,28000000,1,Điện thoại,string
3,MacBook Pro M3,45000000,2,Laptop,number
4,Tai nghe AirPods Pro 2,6000000,3,Phụ kiện,string
5,Bàn phím cơ Keychron Q1,4000000,3,Phụ kiện,number
6,iPhone 15 Pro,25190000,1,Điện thoại,string
7,Samsung Galaxy S24,21150000,1,Điện thoại,number
8,Samsung Galaxy S24 Plus,27800000,1,Điện thoại,string
9,Samsung Galaxy Z Flip 5,24170000,1,Điện thoại,number
10,iPhone 15,22210000,1,Điện thoại,string
11,Samsung Galaxy A35,6570000,1,Điện thoại,number
12,Xiaomi 14,20990000,1,Điện thoại,string
13,iPhone 14 Pro Max,23650000,1,Điện thoại,number
14,Samsung Galaxy A55,9350000,1,Điện thoại,string
15,iPhone 13,15290000,1,Điện thoại,number
16,Xiaomi Redmi Note 13 Pro,6170000,1,Điện thoại,string
17,Xiaomi Redmi 13C,3490000,1,Điện thoại,number
18,OPPO A78,5330000,1,Điện thoại,string
19,vivo V30e,9170000,1,Điện thoại,number
20,vivo Y36,5870000,1,Điện thoại,string
21,OPPO Reno11 F,8150000,1,Điện thoại,number
22,OPPO Find N3 Flip,24600000,1,Điện thoại,string
23,Google Pixel 8,19790000,1,Điện thoại,number
24,Nothing Phone 2a,8990000,1,Điện thoại,string
25,realme 12 Pro Plus,11980000,1,Điện thoại,number
26,ASUS ROG Phone 8,22490000,1,Điện thoại,string
27,Honor X7b,4840000,1,Điện thoại,number
28,realme C67,4540000,1,Điện thoại,string
29,MacBook Air M3 15 inch,30350000,2,Laptop,number
30,TECNO Camon 30,5450000,1,Điện thoại,string
31,MacBook Air M2 13 inch,25490000,2,Laptop,number
32,MacBook Pro M3 Pro 14 inch,50460000,2,Laptop,string
33,Dell Inspiron 15 3520,15590000,2,Laptop,number
34,Dell Vostro 3520,15970000,2,Laptop,string
35,Dell XPS 13 Plus,37190000,2,Laptop,number
